Category,date,Description,Amount
Cash/ATM,1/15/04,ATM Withdrawal - 01/15 Scad6808 *U C Riverside B Of A Riverside Ca 3319,41.5
Other Spending,1/15/04,Non-Wells Fargo ATM Transaction Fee,2
Auto/Transportation,1/15/04,Shell Oil 20465520656 Riverside Ca,5.01
,1/16/04,1201 Universitytokyo Tonybox Springs Ca 3319,5.65
Entertainment,1/16/04,Tremors Riverside Ca,7
Auto/Transportation,1/18/04,Shell Oil 61635192007 Cabazon Ca,16.06
Groceries,1/19/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,34.74
Cash/ATM,1/19/04,ATM Withdrawal - 01/19 3060046 5797 North Victglobal Cashighland Ca 3319,104
Other Spending,1/20/04,Non-Wells Fargo ATM Transaction Fee,2
Shopping,1/21/04,UCR Bookstore Riverside Ca,30.69
,1/24/04,Circle Bar Santamonica Ca,13.5
Auto/Transportation,1/25/04,1294 Universityarco Payporiverside Ca 3319,36.29
Cash/ATM,1/25/04,ATM Withdrawal - 01/25 Scad4057 *Corona-01 B Of A Corona Ca 3319,21.5
,1/26/04,2650 N Main St L And L Mariverside Ca 3319,142.25
Auto/Transportation,1/26/04,Exxonmobil34 07865660 Riversid Ca,26.84
Other Spending,1/26/04,Non-Wells Fargo ATM Transaction Fee,2
Groceries,1/28/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,29.73
Cash/ATM,1/29/04,ATM Withdrawal - 01/29 Lk277350 3204 Mission Incoffee Depriverside Ca 3319,21.75
Food/Drink,1/29/04,Coffee Depot 909-2222263 Ca,3.51
Food/Drink,1/29/04,Mi Tortilla Mexican Gr Riverside Ca,3.22
,1/30/04,1240 Galleria @Journeys #Riverside Ca 3319,64.64
Auto/Transportation,1/30/04,23145 Hemlock Aarco Paypomoreno Valleyca 3319,25.45
Shopping,1/30/04,3700 Tyler Mallmacys Westriverside Ca 3319,102.34
Other Spending,1/30/04,Non-Wells Fargo ATM Transaction Fee,2
Other Spending,2/2/04,Bill Pay Service Fee On 02-01,6.95
Cash/ATM,2/3/04,ATM Withdrawal - 02/03 Co9403 800 University Service Plriverside Ca 3319,21.5
Other Spending,2/3/04,Non-Wells Fargo ATM Transaction Fee,2
Groceries,2/4/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,7.85
Credit Card/Loan Payments,2/4/04,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 02-04,100
Bills/Utilities,2/4/04,Bill Pay Riverside Utilit On-Line 278678132713 On 02-04,48.84
Credit Card/Loan Payments,2/4/04,Bill Pay Wells Fargo Mast On-Line 5490950002018291 On 02-04,100
Auto/Transportation,2/5/04,Exxonmobil34 07680523 Riversid Ca,25.35
Other Spending,2/5/04,Interlink Transaction 02/05 Ger0 Exxonmobil Pos Rive Ca 3319 403617677197,14.79
Other Spending,2/5/04,Interlink Transaction 02/05 Ger4 Exxonmobil Pos Rive Ca 3319 403617677630,2.76
,2/5/04,Kinko'S #1703 Riverside Ca,5.85
,2/6/04,Bbs Bar And Grill Riverside Ca,3.75
,2/6/04,Campus Shop N Gcampus Shoriverside Ca 3319,8.83
Food/Drink,2/6/04,Fatburger Riverside Ca,7.09
Cash/ATM,2/7/04,ATM Withdrawal - 02/07 0887K Riverside Riverside Ca 3319,20
Entertainment,2/7/04,Tremors Riverside Ca,9.5
Food/Drink,2/8/04,Papa John 2356 Riverside Ca,9.69
Groceries,2/9/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,16.87
Other Spending,2/11/04,Monthly Point-Of-Sale (Pos) Purchase Fee,1
Other Spending,2/11/04,Monthly Service Fee,3.75
Auto/Transportation,2/11/04,Union 76 00379982 Riverside Ca,27.74
,2/13/04,Videotown Riverside Ca,2.7
,2/14/04,3261 Iowa/Blaingharabikloriverside Ca 3319,6.51
,2/14/04,Snow Summit Ticket Sal 909-8668766 Ca,35
Food/Drink,2/18/04,Papa John 2356 Riverside Ca,14.27
Auto/Transportation,2/18/04,Union 76 00379982 Riverside Ca,170.63
Cash/ATM,2/19/04,ATM Withdrawal - 02/19 S1E08530 406 Commons Washingtonriverside Ca 3319,20
Other Spending,2/19/04,Non-Wells Fargo ATM Transaction Fee,2
Auto/Transportation,2/19/04,Union 76 00379982 Riverside Ca,21
,2/20/04,Hmshost-Smf-Air #00 Sacramento Ca,17.39
,2/20/04,Wolfgang Puck Express S Lake Tahoe Nv,30.41
,2/22/04,Ontario Airport Lot 2 Ontario Ca,48
Bills/Utilities,2/23/04,Charter Communications 310-971-4160 Ca,114.56
Food/Drink,2/23/04,Rubio'S Riverside #66 Riverside Ca,5.38
Auto/Transportation,2/25/04,Union 76 00379982 Riverside Ca,28.39
Cash/ATM,2/26/04,ATM Withdrawal - 02/26 S1E08530 406 Commons Washingtonriverside Ca 3319,40
Bills/Utilities,2/26/04,Bill Pay The Gas Company On-Line 09092365197 On 02-26,15.74
,2/26/04,Bill Pay Wellspring Wirel On-Line 30037360 On 02-26,25.61
Other Spending,2/26/04,Non-Wells Fargo ATM Transaction Fee,2
,2/27/04,Kinko'S #1703 Riverside Ca,6.42
,2/27/04,Kragen #1322 Kragen #Riverside Ca 3319,25.73
Groceries,2/28/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,36.84
,2/28/04,Great Steak And Potato Riverside Ca,6.45
,3/1/04,2650 N Main St L And L Mariverside Ca 3319,162.5
Groceries,3/1/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,36.98
Other Spending,3/1/04,Bill Pay Service Fee On 03-01,6.95
,3/1/04,Kragen #1573 Kragen #Riverside Ca 3319,14
,3/2/04,7622A Chapman Aorange Hilorange Ca 3319,2.35
Auto/Transportation,3/2/04,Shell Oil 61106221718 Anaheim Ca,30.65
,3/3/04,Great Steak And Potato Riverside Ca,4.3
Cash/ATM,3/4/04,ATM Withdrawal - 03/04 Co9403 800 University Service Plriverside Ca 3319,41.5
Other Spending,3/4/04,Non-Wells Fargo ATM Transaction Fee,2
Checks Written,3/5/04,Check #309,475
Groceries,3/6/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,41.92
Auto/Transportation,3/8/04,Shell Oil 61106221718 Anaheim Ca,27.88
Other Spending,3/10/04,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,1
Other Spending,3/10/04,Monthly Service Fee,3.75
,3/11/04,Interlink Transaction 03/11 00Mf68 7 Eleven Store 1 Anah Ca 3319 407119065780,20.31
Food/Drink,3/11/04,Rubio'S Riverside #66 Riverside Ca,6.67
Food/Drink,3/12/04,Get A Way Cafe Riverside Ca,6.25
Food/Drink,3/12/04,Get A Way Cafe Riverside Ca,11.51
Shopping,3/12/04,Music Mikes Riverside Ca,8.08
,3/13/04,1250 Universitycarl'S Jr Riverside Ca 3319,6.52
,3/13/04,Sumner Cafe Riverside Ca,19.08
Food/Drink,3/14/04,Get A Way Cafe Riverside Ca,17.94
,3/14/04,Jitb #5304 00053041 Riverside Ca,6.01
Auto/Transportation,3/15/04,Shell Oil 61106221718 Anaheim Ca,10.91
Health,3/17/04,5225 Canyon Crerite Aid #Riverside Ca 3319,11.87
Credit Card/Loan Payments,3/17/04,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 03-17,100
Bills/Utilities,3/17/04,Bill Pay Riverside Utilit On-Line 278678132713 On 03-17,44.39
Bills/Utilities,3/17/04,Bill Pay The Gas Company On-Line 09092365197 On 03-17,6.12
Food/Drink,3/18/04,Get A Way Cafe Riverside Ca,7.25
Food/Drink,3/18/04,Papa John 2356 Riverside Ca,9.69
Auto/Transportation,3/18/04,Union 76 00379982 Riverside Ca,28.9
,3/18/04,Videotown Riverside Ca,2.7
Cash/ATM,3/19/04,ATM Withdrawal - 03/19 Tcs00155 2900 Townsgate Smartbanks Westlake Vilca 3319,21.5
Auto/Transportation,3/19/04,Blaine Union 76Blaine Uniriverside Ca 3319,12.69
Other Spending,3/19/04,Non-Wells Fargo ATM Transaction Fee,2
Entertainment,3/20/04,Club Soda Atascadero Ca,6
,3/22/04,905 El Camino Rthe Home Datascadero Ca 3319,89.88
Auto/Transportation,3/22/04,Exxonmobil75 04561189 Atascade Ca,10.01
Auto/Transportation,3/24/04,Chevron #00210730 Camarillo Ca,21.65
Groceries,3/25/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,50.04
,3/27/04,Kinko'S #1703 Riverside Ca,1.7
Cash/ATM,3/28/04,ATM Withdrawal - 03/28 Scad6808 *U C Riverside B Of A Riverside Ca 3319,21.5
,3/28/04,Riverside Brewing Co Riverside Ca,12.78
Entertainment,3/28/04,Tremors Riverside Ca,13.5
Other Spending,3/29/04,Non-Wells Fargo ATM Transaction Fee,2
Cash/ATM,3/30/04,ATM Withdrawal - 03/30 S1E08530 406 Commons Washingtonriverside Ca 3319,20
Checks Written,3/30/04,Check #310,25
Other Spending,3/30/04,Non-Wells Fargo ATM Transaction Fee,2
Other Spending,3/30/04,Overdraft Fee,22
Other Spending,3/30/04,Overdraft Fee,22
Other Spending,4/1/04,Bill Pay Service Fee On 04-01,6.95
Auto/Transportation,4/1/04,Union 76 00234450 Riverside Ca,25.19
Cash/ATM,4/3/04,ATM Withdrawal - 04/03 S1E08530 406 Commons Washingtonriverside Ca 3319,20
Health,4/3/04,Rite Aid Store 5717 Riverside Ca,10.17
Cash/ATM,4/5/04,ATM Withdrawal - 04/05 Co9405 1209 Universityservice Plriverside Ca 3319,61.5
Cash/ATM,4/5/04,ATM Withdrawal - 04/05 S1E08530 406 Commons Washingtonriverside Ca 3319,20
Other Spending,4/5/04,Non-Wells Fargo ATM Transaction Fee,2
Other Spending,4/5/04,Non-Wells Fargo ATM Transaction Fee,2
Shopping,4/5/04,Ucriverside Riverside Ca,16
Groceries,4/6/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,11.75
Other Spending,4/6/04,Non-Wells Fargo ATM Transaction Fee,2
Cash/ATM,4/7/04,ATM Withdrawal - 04/07 S1E08530 406 Commons Washingtonriverside Ca 3319,20
Other Spending,4/7/04,La Times Sub*155794110 800-528-4637 Ca,27.5
Mortgage / Rent,4/7/04,Rent Check #311,925
Food/Drink,4/7/04,Rubio'S Riverside #66 Riverside Ca,5.89
Other Spending,4/8/04,Non-Wells Fargo ATM Transaction Fee,2
Entertainment,4/8/04,Tremors Riverside Ca,10
Other Spending,4/9/04,Overdraft Fee,33
Other Spending,4/12/04,Continuous Od Level 2 Charge,5
Other Spending,4/12/04,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,1
Other Spending,4/12/04,Monthly Service Fee,3.75
Other Spending,4/12/04,Overdraft Fee,33
Other Spending,4/13/04,Continuous Od Level 2 Charge,5
Other Spending,4/13/04,Overdraft Fee,33
Other Spending,4/14/04,Continuous Od Level 2 Charge,5
Other Spending,4/15/04,Continuous Od Level 2 Charge,5
Food/Drink,4/16/04,Rising Savor Riverside Ca,3.79
Cash/ATM,4/17/04,ATM Withdrawal - 04/17 0887K Riverside Riverside Ca 3319,20
Food/Drink,4/17/04,Cabin Sushi Restaurant 909-786-7702 Ca,25.38
Cash/ATM,4/18/04,ATM Withdrawal - 04/18 0887K Riverside Riverside Ca 3319,20
Cash/ATM,4/22/04,ATM Withdrawal - 04/22 0887K Riverside Riverside Ca 3319,20
Auto/Transportation,4/22/04,Chevron #00207698 Orange Ca,25.83
Credit Card/Loan Payments,4/23/04,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 04-23,100
Food/Drink,4/23/04,Get A Way Cafe Riverside Ca,7.25
Food/Drink,4/23/04,Get A Way Cafe Riverside Ca,11.51
,4/23/04,Jitb #3581 00035816 Riverside Ca,3.44
Cash/ATM,4/24/04,ATM Withdrawal - 04/24 0887K Riverside Riverside Ca 3319,20
Cash/ATM,4/25/04,ATM Withdrawal - 04/25 0887K Riverside Riverside Ca 3319,20
Food/Drink,4/25/04,Pizza N Such Clairemont Ca,33.5
Bills/Utilities,4/27/04,Bill Pay Charter Communic On-Line 04512201249060 On 04-27,50
Bills/Utilities,4/27/04,Bill Pay Riverside Utilit On-Line 278678132713 On 04-27,50
Food/Drink,4/27/04,Rubio'S Riverside #66 Riverside Ca,5.7
Groceries,4/27/04,Stater Bros #114 Swv Riverside Ca,39.06
Auto/Transportation,4/29/04,Shell Oil 20465520656 Riverside Ca,30.08
Food/Drink,4/30/04,Papa John 2356 Riverside Ca,9.69
Health,4/30/04,Rite Aid Store 5681 Palm Desert Ca,3.29
Shopping,4/30/04,UCR Bookstore Riverside Ca,3.54
Groceries,5/1/04,74895 Highway 1Ralphs Indian Wellsca 3319,42.78
Groceries,5/2/04,49908 Jeffersonralphs Indio Ca 3319,46.71
Other Spending,5/3/04,Bill Pay Service Fee On 05-01,6.95
Bills/Utilities,5/4/04,Charter Comm Chartercom 050304,50
Bills/Utilities,5/4/04,Charter Comm Chartercom 050304,126.45
Auto/Transportation,5/4/04,Exxonmobil34 07865660 Riversid Ca,28.38
Cash/ATM,5/7/04,ATM Withdrawal - 05/07 S1E08530 406 Commons Washingtonriverside Ca 3319,20
Mortgage / Rent,5/7/04,Rent Check #313,925
Health,5/8/04,3849 Chicago Avrite Aid #Riverside Ca 3319,11.65
Shopping,5/8/04,Music Mikes Riverside Ca,15.41
Other Spending,5/8/04,Video Town & Wireless Riverside Ca,5.39
Cash/ATM,5/10/04,ATM Withdrawal - 05/10 S1E08530 406 Commons Washingtonriverside Ca 3319,20
Other Spending,5/10/04,Non-Wells Fargo ATM Transaction Fee,2
Other Spending,5/10/04,Non-Wells Fargo ATM Transaction Fee,2
Auto/Transportation,5/10/04,Union 76 00408930 Riverside Ca,29.87
Food/Drink,5/11/04,Rubio'S Riverside #66 Riverside Ca,4.62
Other Spending,5/12/04,Monthly Point-Of-Sale (Pos) Purchase Fee,1
Other Spending,5/12/04,Monthly Service Fee,3.75
Cash/ATM,5/13/04,ATM Withdrawal - 05/13 0887K Riverside Riverside Ca 3319,80
Health,5/15/04,3849 Chicago Avrite Aid #Riverside Ca 3319,10.2
Food/Drink,5/15/04,Cask N Cleaver Riverside Ca,12
Food/Drink,5/16/04,Papa John 2356 Riverside Ca,16
Auto/Transportation,5/16/04,Union 76 00379982 Riverside Ca,19.56
Cash/ATM,5/17/04,ATM Withdrawal - 05/17 S1E08530 406 Commons Washingtonriverside Ca 3319,20
Other Spending,5/17/04,Non-Wells Fargo ATM Transaction Fee,2
Auto/Transportation,5/20/04,Chevron #00096984 Riverside Ca,29.8
Entertainment,5/23/04,Tremors Riverside Ca,12.75
Groceries,5/24/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,15.81
Credit Card/Loan Payments,5/25/04,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 05-25,60
Bills/Utilities,5/25/04,Bill Pay Riverside Utilit On-Line 278678132713 On 05-25,70
Bills/Utilities,5/25/04,Bill Pay Wellspring Wirel On-Line 30037360 On 05-25,49.23
Food/Drink,5/25/04,Get A Way Cafe Riverside Ca,8.58
Auto/Transportation,5/27/04,Exxonmobil34 01141662 Orange Ca,29.73
Cash/ATM,5/28/04,ATM Withdrawal - 05/28 S1E08530 406 Commons Washingtonriverside Ca 3319,80
Food/Drink,5/28/04,Get A Way Cafe Riverside Ca,14.5
Other Spending,5/28/04,Non-Wells Fargo ATM Transaction Fee,2
Shopping,5/28/04,Pacific Sunwear #0077 Riverside Ca,59.24
Groceries,5/29/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,8.15
Auto/Transportation,5/29/04,Raceway Ford Inc Riverside Ca,25.43
Food/Drink,5/29/04,Rubio'S Riverside #66 Riverside Ca,7.19
Entertainment,5/29/04,Tremors Riverside Ca,4.25
Groceries,5/30/04,Trade Winds Liqtrade Windnew Port Beacca 3319,5
Entertainment,5/30/04,University Village Cin Los Angelas Ca,5.25
Groceries,5/31/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,20
,5/31/04,Jitb #3581 00035816 Riverside Ca,4.5
Food/Drink,5/31/04,Krispy Kreme Dghnts #9 Riverside Ca,6.33
Cash/ATM,6/1/04,ATM Withdrawal - 06/01 80740094 2001 Riverside Won'S Liqulos Angeles Ca 3319,21.5
Cash/ATM,6/1/04,ATM Withdrawal - 06/01 Scad6808 *U C Riverside B Of A Riverside Ca 3319,21.5
Other Spending,6/1/04,Bill Pay Service Fee On 06-01,6.95
Auto/Transportation,6/1/04,Chevron 00095868 La Mirada Ca,30.06
Other Spending,6/1/04,Non-Wells Fargo ATM Transaction Fee,2
Shopping,6/1/04,UCR Bookstore Riverside Ca,16.64
Other Spending,6/2/04,Non-Wells Fargo ATM Transaction Fee,2
Food/Drink,6/5/04,Rubio'S Riverside #66 Riverside Ca,6.13
Food/Drink,6/6/04,Pizza Hut 07053234 Riverside Ca,14
Auto/Transportation,6/6/04,Union 76 00379982 Riverside Ca,31.41
Cash/ATM,6/8/04,ATM Withdrawal - 06/08 S1E08530 406 Commons Washingtonriverside Ca 3319,20
Mortgage / Rent,6/8/04,Rent Check #314,925
Personal Care,6/8/04,Supercuts Ca778 Riverside Ca,13
Health,6/8/04,Ucr-Campus Health Riverside Ca,37.5
Other Spending,6/9/04,Non-Wells Fargo ATM Transaction Fee,2
Food/Drink,6/9/04,Quizno'S #195 Universi Riverside Ca,8.38
Health,6/9/04,Rite Aid #5717 0063062735Riverside Ca 3319,10.37
Food/Drink,6/10/04,Coffee Depot 909-2222263 Ca,3.51
Other Spending,6/10/04,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,1
Other Spending,6/10/04,Monthly Service Fee,3.75
Shopping,6/10/04,UCR Bookstore Riverside Ca,46.24
Shopping,6/10/04,Ucr-Print & Reprograph Riverside Ca,5.66
Cash/ATM,6/11/04,ATM Withdrawal - 06/11 S1E08530 406 Commons Washingtonriverside Ca 3319,20
Cash/ATM,6/11/04,ATM Withdrawal - 06/11 Scad8216 *Canyon Crest-0B Of A Riverside Ca 3319,21.5
Food/Drink,6/11/04,Get A Way Cafe Riverside Ca,14.83
Other Spending,6/11/04,Non-Wells Fargo ATM Transaction Fee,2
Food/Drink,6/11/04,Rubio'S Riverside #66 Riverside Ca,5.7
Groceries,6/13/04,Stater Bros. #14301347500Riverside Ca 3319,28.92
Other Spending,6/14/04,Non-Wells Fargo ATM Transaction Fee,2
Shopping,6/15/04,Mad Platter Riverside Ca,27.99
Food/Drink,6/15/04,Pizza Hut 07050511 909-7648817 Ca,14.65
Credit Card/Loan Payments,6/16/04,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 06-16,50
Bills/Utilities,6/16/04,Bill Pay The Gas Company On-Line 09092365197 On 06-16,15
Auto/Transportation,6/16/04,Shell Oil 20465520656 Riverside Ca,30.01
Shopping,6/17/04,Office Max 00006130 Riverside Ca,37.7
Health,6/17/04,Rite Aid #5716 0063062735Riverside Ca 3319,23.76
Other Spending,6/17/04,Sou Usps 0567762390349092Riverside Ca 3319,3.95
Food/Drink,6/17/04,Starbucks 00059915 Riverside Ca,6.2
,6/18/04,Johns Place Of Orange Orange Ca,5.65
Cash/ATM,6/19/04,ATM Withdrawal - 06/19 4806K 8440 E Chapman Ave Orange Ca 3319,60
Food/Drink,6/19/04,Chen'S Panda Orange Ca,20
Other Spending,6/22/04,Overdraft Fee,33
Food/Drink,6/22/04,Pizza Hut 07050511 909-7648817 Ca,15.34
Shopping,6/23/04,Staples #144 Riverside Ca,53.81
Food/Drink,6/23/04,Starbucks 00059915 Riverside Ca,4.5
,6/24/04,Joxer Daly'S Culver City Ca,22
,6/28/04,Hmshost-Iad-Airpt #000 Washington Dc,35.78
Food/Drink,6/28/04,Pizza Hut 2 Chantilly Va,4.69
Auto/Transportation,6/29/04,Chevron 00210249 Los Angeles Ca,27.26
Food/Drink,6/29/04,Rubio'S Riverside #66 Riverside Ca,6.13
Health,6/30/04,Rite Aid #5717 0063062735Riverside Ca 3319,12.92
Groceries,6/30/04,Stater Bros. #14301347500Riverside Ca 3319,3.76
Groceries,6/30/04,Stater Bros. #14301347500Riverside Ca 3319,27.77
Other Spending,7/1/04,Bill Pay Service Fee On 07-01,6.95
Food/Drink,7/1/04,Get A Way Cafe Riverside Ca,9.75
Food/Drink,7/2/04,Rising Savor Riverside Ca,4.4
Entertainment,7/2/04,Tremors Riverside Ca,18
Food/Drink,7/3/04,Subway #24399 Riverside Ca,6.39
Auto/Transportation,7/3/04,Union 76 76899020 Los Angeles Ca,23.96
Food/Drink,7/4/04,Bigberthas/Typhoon/Fre San Diego Ca,9.68
Food/Drink,7/4/04,Quiznos #3381 San Diego Ca,6.45
Groceries,7/4/04,Vons Store 0029000023San Diego Ca 3319,38.52
Auto/Transportation,7/5/04,Union 76 76887462 San Diego Ca,25.85
Shopping,7/6/04,Mad Platter 4301322135Riverside Ca 3319,12.92
Personal Care,7/6/04,Supercuts Ca778 Riverside Ca,15
Food/Drink,7/7/04,Historic Mission Inn Riverside Ca,16.82
Health,7/7/04,Rite Aid #5715 0063062735Riverside Ca 3319,13.23
Food/Drink,7/7/04,Riverside Brewing Co Riverside Ca,31.83
Bills/Utilities,7/8/04,Bill Pay The Gas Company On-Line 09092365197 On 07-08,16.62
Bills/Utilities,7/8/04,Bill Pay Wellspring Wirel On-Line 30037360 On 07-08,16.49
Checks Written,7/8/04,Check #315 Other Withdrawals,475
Auto/Transportation,7/8/04,Exxonmobil59 02358075 Diamond Ca,18.83
Other Spending,7/9/04,Nsf Return Check Fee,30
Health,7/10/04,Rite Aid #5827 0063062737Atascadero Ca 3319,16.08
Bills/Utilities,7/13/04,Bill Pay Charter Communic On-Line 04512201249060 On 07-13,80
Bills/Utilities,7/13/04,Bill Pay Riverside Utilit On-Line 278678132713 On 07-13,68.66
Shopping,7/13/04,Kmart 1260007619Atascadero Ca 3319,14.56
Other Spending,7/13/04,Monthly Point-Of-Sale (Pos) Purchase Fee,1
Other Spending,7/13/04,Monthly Service Fee,3.75
Shopping,7/13/04,Radio Shack 7430013028Atascadero Ca 3319,7.5
Auto/Transportation,7/14/04,Union 76 46044897 Atasacadero Ca,29.06
Shopping,7/16/04,Kmart 1260007619Atascadero Ca 3319,2.4
Food/Drink,7/16/04,Slo Brewing Co Inc San Luis Obis Ca,12
Groceries,7/16/04,Vons Store 0029000023Atascadero Ca 3319,13.37
Shopping,7/17/04,Limelight Music-Gifts Atascadero Ca,15.98
Shopping,7/20/04,Central Coast Music Morro Bay Ca,53.63
Auto/Transportation,7/21/04,Chevron 00090150 San Luis Obis Ca,24.23
Cash/ATM,7/21/04,Withdrawal Made In A Branch/Store,550
Food/Drink,7/22/04,The Boogie 4131992002Anaheim Ca 3319,20
Auto/Transportation,7/23/04,Shell Oil 20417941224 Corona Ca,27.19
Food/Drink,7/24/04,Get A Way Cafe Riverside Ca,8.4
Auto/Transportation,7/25/04,Exxonmobil34 07865660 Riversid Ca,6.67
,7/25/04,U-Haul 8930081682Riverside Ca 3319,43.12
Auto/Transportation,7/26/04,Arco Paypoint 054081 San Diego Ca 3319,10.55
Auto/Transportation,7/27/04,Trail Town Chevchevron Lordsburg Nm 3319,0.84
,7/28/04,Aramark Minute Maid Pa Houston Tx,11.5
Cash/ATM,7/28/04,ATM Withdrawal - 07/28 00004C63 501 Crawford #1501 Crawfohouston Tx 3319,22.5
Food/Drink,7/28/04,Ozona Subway Ozona Tx,8.26
,7/28/04,Sports At The B U S Lt Houston Tx,12
Auto/Transportation,7/28/04,Tetco Stores Lpchevron San Antonio Tx 3319,1.95
,7/28/04,Travelodge Ozona Tx,55
Cash/ATM,7/29/04,ATM Withdrawal - 07/29 P28394 500 Bourbon St.Chris Owennew Orleans La 3319,23
Other Spending,7/29/04,Non-Wells Fargo ATM Transaction Fee,2
Auto/Transportation,7/29/04,Shell Service S0095481958Baytown Tx 3319,3.23
Cash/ATM,7/30/04,ATM Withdrawal - 07/30 Fc1L7056 Braves Stadium Braves Staatlanta Ga 3319,42
,7/30/04,Howl At The Moon New Orleans La,9
Other Spending,7/30/04,Non-Wells Fargo ATM Transaction Fee,2
Other Spending,7/30/04,Non-Wells Fargo ATM Transaction Fee,2
